col1,col2,col3,col4,col5
1,0,5399,876,1973/2/26
2,1,6651,6866,1976/7/17
3,1,1688,6483,1975/9/6
4,1,7055,6431,2001/5/13
5,1,8081,1103,1982/4/25
6,0,3460,5553,1976/12/2
7,0,3272,4248,2001/1/19
8,0,4559,1082,2016/12/25
9,1,3945,9527,1985/7/25
10,0,7360,5625,2007/6/28
11,1,5128,1173,1978/7/3
12,0,1532,6618,2003/6/21
13,1,9587,201,2019/10/6
14,0,8793,4304,1983/4/10
15,1,9647,4927,2004/10/22
16,0,6645,868,1980/5/2
17,0,9101,1592,1989/8/5
18,0,1270,2321,1977/3/1
19,1,5190,2628,2013/8/14
20,0,8437,2395,2010/12/21
21,0,2315,8894,2014/1/2
22,1,4937,2236,1977/4/5
23,1,2811,3231,2004/6/10
24,0,1909,9942,2019/9/4
25,0,406,6159,1972/9/26
26,1,6921,1669,2010/7/8
27,0,4944,5275,2016/10/8
28,0,5197,6676,2003/8/31
29,0,3737,2582,1983/7/16
30,0,150,9372,1981/6/8
31,0,2806,4596,1991/7/20
32,0,6592,5659,1985/5/4
33,1,154,245,2017/10/16
34,1,3757,4483,1996/11/30
35,0,8142,6133,2023/2/18
36,0,9917,9469,2022/11/16
37,1,6837,344,1992/6/25
38,0,9145,4704,2015/12/10
39,0,3690,4279,1985/7/29
40,1,926,251,1990/12/13
41,1,8763,4676,2020/7/7
42,0,5944,2481,1999/3/27
43,0,3737,292,1975/11/18
44,1,8632,5277,1981/11/3
45,0,8427,2022,1996/11/9
46,0,378,6963,1996/2/10
47,1,354,810,1971/7/22
48,1,700,6873,1994/5/11
49,0,3943,5980,1974/10/31
50,0,7685,1662,1978/11/19
51,1,7068,8339,1994/3/6
52,1,4677,3696,1991/2/14
53,1,478,9770,1971/6/16
54,1,8030,670,2003/11/11
55,1,7641,2670,1971/12/16
56,0,7712,7934,1987/5/1
57,1,3922,9251,2012/5/3
58,1,9601,3380,1978/3/24
59,1,6905,5977,2003/11/23
60,1,9802,6861,1985/12/27
61,1,3781,6244,2006/10/13
62,0,2164,4448,1990/6/13
63,1,4344,7852,2021/8/20
64,0,5521,7434,2019/6/21
65,1,8476,9919,2004/9/5
66,1,2098,1284,1975/12/20
67,1,6230,1895,1977/3/20
68,0,6303,1291,1985/12/29
69,1,9494,4667,2008/12/23
70,1,1001,687,2002/11/16
71,1,8853,7692,1988/9/22
72,1,3385,6755,1991/8/17
73,1,7639,3362,2011/8/31
74,0,3641,9705,1970/11/21
75,0,4658,7779,1970/2/22
76,0,3812,6061,1975/1/3
77,1,4174,9894,1998/4/28
78,0,724,4045,1986/3/3
79,0,6664,8272,1972/1/25
80,1,5111,5771,2011/11/18
81,0,1582,3739,1979/6/3
82,0,9965,2924,1999/12/2
83,0,54,627,1975/5/19
84,0,220,1138,1972/12/26
85,1,1562,8784,2021/12/11
86,1,2184,4653,2004/11/11
87,0,683,5171,1999/1/28
88,1,7899,7240,1988/1/11
89,1,1236,1588,1985/8/4
90,0,7189,6930,2007/1/20
91,0,8760,3224,1992/1/23
92,0,2529,3897,2012/10/15
93,0,1957,5360,2018/4/29
94,0,4710,5135,1970/10/14
95,0,3096,7430,1976/8/19
96,0,9391,8548,1986/4/19
97,0,4560,8301,2014/7/26
98,0,268,3554,1977/9/17
99,0,566,7555,1990/11/14
100,1,5810,9662,1974/10/10
